"","Wavelength (nm)","Rrs"
"1",349.01,0.00926178778957068
"2",352.33,0.00879545309072129
"3",355.64,0.00855024575379637
"4",358.96,0.00838084274090801
"5",362.28,0.00820009788824642
"6",365.6,0.00804546396824807
"7",368.92,0.00800185510406889
"8",372.24,0.00800774127516091
"9",375.56,0.00795518666959763
"10",378.88,0.00785398851286572
"11",382.2,0.00790058211781831
"12",385.52,0.00795884247384195
"13",388.85,0.00787557447556934
"14",392.17,0.00783462051807475
"15",395.49,0.00793827465481319
"16",398.82,0.00795555054749256
"17",402.14,0.00783586648074924
"18",405.47,0.00783171467832033
"19",408.79,0.00782599641582044
"20",412.12,0.00777906616724131
"21",415.44,0.00778424197715269
"22",418.77,0.00779918335051209
"23",422.1,0.00782892283817307
"24",425.42,0.0078405379737835
"25",428.75,0.00794918924708942
"26",432.08,0.00800390808544214
"27",435.41,0.00806864515826433
"28",438.74,0.00818276598938938
"29",442.07,0.00833002214267601
"30",445.4,0.00848792263942786
"31",448.73,0.00862205544093188
"32",452.06,0.00876211998291739
"33",455.39,0.00892503650350583
"34",458.72,0.00904173457549669
"35",462.05,0.00918419747810254
"36",465.38,0.00930091255955252
"37",468.71,0.00948310948121008
"38",472.04,0.00964964903519045
"39",475.38,0.00981106769888539
"40",478.71,0.00997165041741388
"41",482.04,0.0101273365584659
"42",485.37,0.0102934069715505
"43",488.71,0.0104292778216257
"44",492.04,0.0105334675228837
"45",495.37,0.0106781024302795
"46",498.71,0.0108522942366799
"47",502.04,0.0110610123851724
"48",505.38,0.0112336370755186
"49",508.71,0.0113804190773618
"50",512.04,0.0115302685858862
"51",515.38,0.0117301083286106
"52",518.71,0.011928386208838
"53",522.05,0.0121360184589265
"54",525.38,0.0123242493629572
"55",528.72,0.0124872092688005
"56",532.05,0.0126368851874583
"57",535.38,0.0127636365274643
"58",538.72,0.0128931033107798
"59",542.05,0.0130045236248137
"60",545.39,0.0131135191212783
"61",548.72,0.013211514887144
"62",552.06,0.0133175665951602
"63",555.39,0.0134188976913888
"64",558.73,0.0135464430955576
"65",562.06,0.0136556130212169
"66",565.4,0.0136631422162803
"67",568.73,0.013664007158189
"68",572.07,0.0135517411787127
"69",575.4,0.0133888054643708
"70",578.73,0.0131575348792896
"71",582.07,0.0127974289111575
"72",585.4,0.0123573737063233
"73",588.74,0.0117847551324907
"74",592.07,0.0111486517211744
"75",595.4,0.0105012823695501
"76",598.74,0.00983195510066659
"77",602.07,0.0092295150657098
"78",605.41,0.00884815619976119
"79",608.74,0.00853929801470433
"80",612.07,0.00838999891976072
"81",615.4,0.00828825044613355
"82",618.74,0.00820981259669383
"83",622.07,0.00807620896483835
"84",625.4,0.00802937668987933
"85",628.73,0.00795546111189732
"86",632.06,0.00785806493646984
"87",635.4,0.00776805885874886
"88",638.73,0.00770371645192499
"89",642.06,0.00759103295042203
"90",645.39,0.00748635048930622
"91",648.72,0.00731130606555915
"92",652.05,0.00714267266267927
"93",655.38,0.00693985888829009
"94",658.71,0.00668942627123491
"95",662.03,0.00642842121564621
"96",665.36,0.0063070997849921
"97",668.69,0.00626526587927605
"98",672.02,0.00620878232091952
"99",675.35,0.00622554334568287
"100",678.67,0.00625929191417976
"101",682,0.00628437331532715
"102",685.33,0.0062842006675335
"103",688.65,0.0061644268124
"104",691.98,0.00604817040472655
"105",695.3,0.00583458152115353
"106",698.62,0.00563786725280295
"107",701.95,0.00546160171568426
"108",705.27,0.00525370181785205
"109",708.59,0.00507462415254879
"110",711.92,0.00486288300762509
"111",715.24,0.00457686211332474
"112",718.56,0.00424644188684889
"113",721.88,0.00396293437059268
"114",725.2,0.00377151207228066
"115",728.52,0.00364277141327122
"116",731.84,0.00356153214058926
"117",735.16,0.00356729624525123
"118",738.48,0.00365996010803979
"119",741.79,0.00370950761630362
"120",745.11,0.00377339008557923
"121",748.42,0.00378880604508594
"122",751.74,0.00377040963773554
"123",755.05,0.00377967750651241
"124",758.37,0.00372271428611687
"125",761.68,0.00352728418651782
"126",765,0.00346802763679281
"127",768.31,0.00355819395803065
"128",771.62,0.00376244546585067
"129",774.93,0.0038230622213861
"130",778.24,0.00382778143904417
"131",781.55,0.0038325475201596
"132",784.86,0.00380575357694277
"133",788.16,0.00374795631240123
"134",791.47,0.00369955184956622
"135",794.78,0.00376192649876126
"136",798.08,0.00372311369277428
