wl,ave_rrs,group
349.01,0.004034094,Edr
352.33,0.003884498,Edr
355.64,0.003801276,Edr
358.96,0.003772151,Edr
362.28,0.003734716,Edr
365.6,0.003736388,Edr
368.92,0.003762205,Edr
372.24,0.00382682,Edr
375.56,0.003845807,Edr
378.88,0.003866158,Edr
382.2,0.0039278510000000004,Edr
385.52,0.00400795,Edr
388.85,0.004011973,Edr
392.17,0.004083815,Edr
395.49,0.004213573,Edr
398.82,0.004242545,Edr
402.14,0.004236811,Edr
405.47,0.004281815,Edr
408.79,0.004325184,Edr
412.12,0.004356479,Edr
415.44,0.004405273,Edr
418.77,0.004465983,Edr
422.1,0.004537541,Edr
425.42,0.004609895,Edr
428.75,0.004726856,Edr
432.08,0.004830594,Edr
435.41,0.004924409,Edr
438.74,0.005054254,Edr
442.07,0.00521783,Edr
445.4,0.005393771,Edr
448.73,0.005567235,Edr
452.06,0.005726417,Edr
455.39,0.005898722,Edr
458.72,0.006049817,Edr
462.05,0.006193648,Edr
465.38,0.006338681,Edr
468.71,0.006524589,Edr
472.04,0.006712499,Edr
475.38,0.00690259,Edr
478.71,0.007085896,Edr
482.04,0.007250502,Edr
485.37,0.007431479,Edr
488.71,0.007608787,Edr
492.04,0.007742696,Edr
495.37,0.007901111,Edr
498.71,0.008086118,Edr
502.04,0.008291954,Edr
505.38,0.00847095,Edr
508.71,0.008619529,Edr
512.04,0.008769977,Edr
515.38,0.008946981,Edr
518.71,0.009151345,Edr
522.05,0.009344925,Edr
525.38,0.009531858,Edr
528.72,0.009722153,Edr
532.05,0.009871701,Edr
535.38,0.010018086,Edr
538.72,0.010153248,Edr
542.05,0.010284177,Edr
545.39,0.010383674,Edr
548.72,0.010485799,Edr
552.06,0.010606684,Edr
555.39,0.010732803,Edr
558.73,0.010869344,Edr
562.06,0.010978204,Edr
565.4,0.011030585,Edr
568.73,0.011043184,Edr
572.07,0.010954968,Edr
575.4,0.010794248,Edr
578.73,0.010527667,Edr
582.07,0.010164156,Edr
585.4,0.009726457,Edr
588.74,0.009159936,Edr
592.07,0.008512413,Edr
595.4,0.007834631,Edr
598.74,0.007126163,Edr
602.07,0.006520346,Edr
605.41,0.006116572,Edr
608.74,0.005865853,Edr
612.07,0.005733338,Edr
615.4,0.0056493410000000004,Edr
618.74,0.0055767,Edr
622.07,0.005487029,Edr
625.4,0.005415101,Edr
628.73,0.005348008,Edr
632.06,0.005262944,Edr
635.4,0.005165028,Edr
638.73,0.005082092,Edr
642.06,0.004994488,Edr
645.39,0.004906867,Edr
648.72,0.004788895,Edr
652.05,0.004633149,Edr
655.38,0.004418704,Edr
658.71,0.004185472,Edr
662.03,0.003987294,Edr
665.36,0.003860241,Edr
668.69,0.003795688,Edr
672.02,0.003774453,Edr
675.35,0.003782871,Edr
678.67,0.003818691,Edr
682,0.003853134,Edr
685.33,0.00385831,Edr
688.65,0.003793045,Edr
691.98,0.003652213,Edr
695.3,0.003477464,Edr
698.62,0.003292637,Edr
701.95,0.003088024,Edr
705.27,0.002869368,Edr
708.59,0.002660989,Edr
711.92,0.002462647,Edr
715.24,0.002258925,Edr
718.56,0.002028168,Edr
721.88,0.00180662,Edr
725.2,0.001617035,Edr
728.52,0.001452031,Edr
731.84,0.001330411,Edr
735.16,0.001247361,Edr
738.48,0.001211104,Edr
741.79,0.001197043,Edr
745.11,0.001188556,Edr
748.42,0.001187842,Edr
751.74,0.001182059,Edr
755.05,0.001189205,Edr
758.37,0.001186755,Edr
761.68,0.001164529,Edr
765,0.001131928,Edr
768.31,0.001140597,Edr
771.62,0.00115934,Edr
774.93,0.001181419,Edr
778.24,0.001190146,Edr
781.55,0.001193337,Edr
784.86,0.001202158,Edr
788.16,0.001219267,Edr
791.47,0.001230101,Edr
794.78,0.001239375,Edr
798.08,0.001259121,Edr
801.39,0.001260757,Edr
